trigger(1): node -> entity, OsmAnd/src/net/osmand/plus/osmedit/EditPoiData.java, 37, ParameterName, 30681c6f6485fc2314ea4b4e0841942db16ade43
recommend list:
1: ['Node', 'Entity', 'OsmAnd-java/src/main/java/net/osmand/data/QuadTree.java', 11, 'ClassName']
2: ['loadNode', 'loadEntity', 'OsmAnd/src/net/osmand/plus/osmedit/OpenstreetmapRemoteUtil.java', 322, 'MethodName']
3: ['node', 'entity', 'OsmAnd-java/src/main/java/net/osmand/TspHeldKarp.java', 97, 'ParameterName']
4: IDMATCH EXMATCH ['node', 'entity', 'OsmAnd/src/net/osmand/plus/osmedit/EditPoiDialogFragment.java', 118, 'VariableName']
5: ['OnNodeCommittedListener', 'OnEntityCommittedListener', 'OsmAnd/src/net/osmand/plus/osmedit/OpenstreetmapLocalUtil.java', 116, 'ClassName']
6: ['node', 'entity', 'OsmAnd-java/src/main/java/net/osmand/osm/edit/EntityParser.java', 228, 'VariableName']
7: ['removeNodeCommittedListener', 'removeEntityCommittedListener', 'OsmAnd/src/net/osmand/plus/osmedit/OpenstreetmapLocalUtil.java', 39, 'MethodName']
8: ['node', 'entity', 'OsmAnd-java/src/main/java/net/osmand/TspHeldKarp.java', 183, 'ParameterName']
9: ['ELEM_NODE', 'ELEM_ENTITY', 'OsmAnd-java/src/main/java/net/osmand/osm/io/OsmBaseStorage.java', 33, 'FieldName']
10: IDMATCH EXMATCH ['commitNodeImpl', 'commitEntityImpl', 'OsmAnd/src/net/osmand/plus/osmedit/OpenstreetmapRemoteUtil.java', 253, 'MethodName']
11: ['Node', 'Entity', 'OsmAnd-java/src/main/java/net/osmand/data/QuadTree.java', 16, 'MethodName']
12: IDMATCH EXMATCH ['KEY_AMENITY_NODE', 'KEY_AMENITY_ENTITY', 'OsmAnd/src/net/osmand/plus/osmedit/EditPoiDialogFragment.java', 85, 'FieldName']
13: ['onNodeChanged', 'onEntityChanged', 'OsmAnd/src/net/osmand/plus/mapillary/MapillaryImageDialog.java', 266, 'MethodName']
14: ['node', 'entity', 'OsmAnd/src/net/osmand/plus/osmedit/EditPoiDialogFragment.java', 761, 'ParameterName']
15: ['node', 'entity', 'OsmAnd-java/src/main/java/net/osmand/osm/edit/EntityParser.java', 94, 'VariableName']
16: IDMATCH EXMATCH ['loadNode', 'loadEntity', 'OsmAnd/src/net/osmand/plus/osmedit/OpenstreetmapLocalUtil.java', 71, 'MethodName']
