trigger(1): bCanEdit -> canBeEdited, OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/ui/widget/KeyEditor.java, 199, ParameterName, 7a66ccb5ee5d3de8f3814267969139397de45e12
recommend list:
1: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/CMSTest.java', 306, 'VariableName']
2: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/jdk1.3/org/spongycastle/cms/test/SignedDataStreamTest.java', 1039, 'VariableName']
3: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/jdk1.3/org/spongycastle/jce/provider/JDKAlgorithmParameters.java', 541, 'VariableName']
4: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/jdk1.3/org/spongycastle/jce/provider/JDKPKCS12KeyStore.java', 1419, 'VariableName']
5: ['slt2b', 'slt2', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/PSSBlindTest.java', 109, 'FieldName']
6: ['bWord', 'word', 'libraries/spongycastle/core/src/main/j2me/java/math/BigInteger.java', 795, 'VariableName']
7: ['bOut', 'out', 'libraries/spongycastle/pkix/src/main/java/org/spongycastle/cms/CMSAuthenticatedDataGenerator.java', 144, 'VariableName']
8: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NewEnvelopedDataStreamTest.java', 716, 'VariableName']
9: ['setBootstrapEditTextEnabled', 'setBootstrapBeEditedTextEnabled', 'libraries/AndroidBootstrap/src/com/beardedhen/androidbootstrap/BootstrapEditText.java', 179, 'MethodName']
10: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jcajce/provider/asymmetric/util/PKCS12BagAttributeCarrierImpl.java', 86, 'VariableName']
11: ['bIn', 'in', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jcajce/provider/keystore/pkcs12/PKCS12KeyStoreSpi.java', 777, 'VariableName']
12: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/util/encoders/test/AbstractCoderTest.java', 138, 'VariableName']
13: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/ASN1SequenceParserTest.java', 163, 'VariableName']
14: ['_bOut', '_out', 'libraries/spongycastle/core/src/main/java/org/spongycastle/asn1/DERSequenceGenerator.java', 10, 'FieldName']
15: ['bOut', 'out', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/PKCS12StoreTest.java', 987, 'VariableName']
16: ['bIn', 'in', 'libraries/spongycastle/prov/src/test/jdk1.1/org/spongycastle/jce/provider/test/CertTest.java', 723, 'VariableName']
17: ['bStart', 'start', 'libraries/spongycastle/core/src/main/j2me/java/math/BigInteger.java', 2915, 'VariableName']
18: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/jdk1.1/org/spongycastle/cert/test/CertTest.java', 1828, 'VariableName']
19: ['bResp', 'resp', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/OCSPTest.java', 145, 'VariableName']
20: ['bOut', 'out', 'libraries/spongycastle/pkix/src/main/java/org/spongycastle/cms/CMSSignedDataGenerator.java', 145, 'VariableName']
21: ['bOut', 'out', 'libraries/spongycastle/core/src/main/java/org/spongycastle/crypto/prng/FixedSecureRandom.java', 48, 'VariableName']
22: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/jdk1.1/org/spongycastle/cert/test/CertTest.java', 1274, 'VariableName']
23: ['getB', 'get', 'libraries/spongycastle/core/src/main/java/org/spongycastle/asn1/ua/DSTU4145ECBinary.java', 102, 'MethodName']
24: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NewSignedDataTest.java', 1636, 'VariableName']
25: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/jdk1.1/org/spongycastle/cert/test/CertTest.java', 1213, 'VariableName']
26: ['bWord', 'word', 'libraries/spongycastle/core/src/main/j2me/java/math/BigInteger.java', 2920, 'VariableName']
